BIB_ID, TITLE,AUTHOR,CALL_NUM,HOLDINGS_LOC,BARCODE,ENUM,CHRON,ITEM_LOC
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894443,Box 86
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894435,Box 87
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894427,Box 88
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894419,Box 89
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894990,Box 90
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894982,Box 91
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894974,Box 92
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894966,Box 93
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894958,Box 94
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894940,Box 95
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894931,Box 96
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894923,Box 97
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894915,Box 98
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894907,Box 99
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894893,Box 100
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894877,Box 101
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894869,Box 102
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894850,Box 103
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895784,Box 104
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894842,Box 105
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894834,Box 106
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894826,Box 107
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894591,Box 108
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894745,Box 109
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894737,Box 110
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894583,Box 111
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894532,Box 112
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894540,Box 113
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894559,Box 114
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894567,Box 115
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894575,Box 116
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894818,Box 117
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894800,Box 118
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894770,Box 119
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894788,Box 120
5541450,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894796,Box 121
